City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,oktyabrskoye,43.0645,44.7417,-2.92,93,42,1.0,RU,1673993122
153,oranjemund,-28.55,16.4333,18.83,90,94,1.96,NA,1673993123
154,steubenville,40.3698,-80.634,12.32,81,91,0.45,US,1673992627
155,katsuura,35.1333,140.3,5.01,88,81,4.1,JP,1673993124
156,wanxian,30.8039,108.3897,3.68,88,100,0.76,CN,1673993125
157,alofi,-19.0595,-169.9187,28.94,79,40,2.57,NU,1673993126
158,okha,53.5739,142.9478,-35.75,97,86,1.35,RU,1673993127
159,mugur-aksy,50.35,90.5,-18.27,89,75,3.81,RU,1673993129
160,ubinskoye,55.3068,79.6802,-19.23,99,10,2.7,RU,1673993130
161,naze,28.3667,129.4833,13.1,71,84,6.93,JP,1673993131
162,yamada,39.4667,141.95,1.18,74,79,2.57,JP,1673993133
163,victoria,22.2855,114.1577,12.92,68,100,8.05,HK,1673993134
164,luderitz,-26.6481,15.1594,19.16,84,27,1.09,NA,1673993135
165,arona,28.0996,-16.681,14.51,69,20,5.14,ES,1673992868
166,pachino,36.7186,15.0907,16.3,70,1,10.08,IT,1673993136
167,carutapera,-1.195,-46.02,24.44,88,100,2.97,BR,1673993137
168,vardo,70.3705,31.1107,-4.01,80,29,11.32,NO,1673993139
169,kidal,18.4411,1.4078,19.46,17,1,4.36,ML,1673993140
170,santa maria,-29.6842,-53.8069,33.32,31,0,4.73,BR,1673993028
171,portland,45.5234,-122.6762,10.69,76,100,4.92,US,1673992810
172,eureka,40.8021,-124.1637,12.89,64,10,0.89,US,1673993142
173,sola,-13.8833,167.55,27.11,80,92,8.71,VU,1673993143
174,tuktoyaktuk,69.4541,-133.0374,-24.39,97,94,3.53,CA,1673993094
175,do gonbadan,30.3586,50.7981,8.46,93,75,0.67,IR,1673993145
176,chuy,-33.6971,-53.4616,23.07,69,0,5.85,UY,1673993146
177,tricase,39.9304,18.3553,14.06,83,100,12.29,IT,1673993147
178,gouyave,12.1646,-61.7296,24.61,78,34,4.68,GD,1673993148
179,butaritari,3.0707,172.7902,27.53,79,20,8.44,KI,1673993150
180,norman wells,65.282,-126.8329,-17.98,78,75,1.03,CA,1673993103
181,darhan,49.4867,105.9228,-17.1,98,100,1.83,MN,1673993152
182,cardoso,-20.0819,-49.9142,26.52,68,99,1.87,BR,1673993153
183,wukari,7.85,9.7833,24.71,21,56,2.49,NG,1673993154
184,waingapu,-9.6567,120.2641,25.62,84,99,1.67,ID,1673993155
185,kyabe,9.4515,18.9449,26.24,20,81,2.37,TD,1673993156
186,cidreira,-30.1811,-50.2056,23.72,82,49,5.85,BR,1673993018
187,northam,51.0333,-4.2167,4.23,75,62,7.25,GB,1673993158
188,valparaiso,-33.0393,-71.6273,20.26,100,1,4.9,CL,1673992904
189,almeirim,-1.5233,-52.5817,25.29,82,82,1.95,BR,1673992908
190,agadez,19.75,10.25,14.36,24,1,2.77,NE,1673993161
191,catio,11.2833,-15.25,22.63,78,64,0.79,GW,1673993162
